i,j,duration_days,season
1,24,2,Winter
1,24,2,Winter
1,25,2,Winter
2,24,3,Winter
2,25,2,Winter
2,28,2,Winter
2,30,2,Winter
2,34,3,Winter
2,35,3,Winter
2,36,3,Winter
3,10,2,Winter
3,11,2,Winter
3,24,2,Winter
3,28,2,Winter
3,29,3,Winter
3,30,3,Winter
3,31,2,Winter
3,32,2,Winter
3,33,3,Winter
3,34,3,Winter
3,35,5,Winter
3,38,2,Winter
3,39,2,Winter
4,2,2,Winter
4,3,2,Winter
4,4,2,Winter
4,17,2,Winter
4,18,2,Winter
4,18,2,Winter
4,19,2,Winter
4,19,2,Winter
4,20,2,Winter
4,24,2,Winter
4,24,2,Winter
4,28,2,Winter
4,29,3,Winter
4,30,3,Winter
4,31,2,Winter
4,32,3,Winter
4,33,3,Winter
4,34,3,Winter
4,35,3,Winter
4,36,2,Winter
4,36,3,Winter
4,37,4,Winter
4,37,4,Winter
4,38,3,Winter
4,43,2,Winter
4,43,2,Winter
4,43,2,Winter
4,44,2,Winter
4,44,2,Winter
4,46,2,Winter
5,5,2,Winter
5,6,2,Winter
5,7,2,Winter
5,11,2,Winter
5,17,2,Winter
5,18,3,Winter
5,18,2,Winter
5,18,2,Winter
5,19,3,Winter
5,19,2,Winter
5,19,2,Winter
5,20,2,Winter
5,24,2,Winter
5,25,2,Winter
5,34,2,Winter
5,35,2,Winter
5,36,3,Winter
5,37,2,Winter
5,37,2,Winter
5,45,2,Winter
5,46,2,Winter
6,10,2,Winter
6,11,2,Winter
6,15,2,Winter
6,15,2,Winter
6,16,2,Winter
6,16,2,Winter
6,17,2,Winter
6,18,2,Winter
6,18,2,Winter
6,19,2,Winter
6,19,2,Winter
6,24,2,Winter
6,25,2,Winter
6,26,2,Winter
6,32,2,Winter
6,33,2,Winter
6,37,2,Winter
6,39,2,Winter
6,45,2,Winter
7,2,2,Winter
7,2,2,Winter
7,9,2,Winter
7,15,2,Winter
7,16,2,Winter
7,18,2,Winter
7,19,2,Winter
7,20,2,Winter
7,24,3,Winter
7,25,2,Winter
7,26,2,Winter
7,27,2,Winter
7,28,2,Winter
7,31,2,Winter
7,32,2,Winter
7,32,2,Winter
7,33,2,Winter
7,34,2,Winter
7,35,2,Winter
7,38,2,Winter
7,38,2,Winter
7,39,2,Winter
7,39,2,Winter
7,46,2,Winter
8,2,2,Winter
8,2,2,Winter
8,2,2,Winter
8,3,2,Winter
8,4,2,Winter
8,5,2,Winter
8,9,2,Winter
8,10,2,Winter
8,11,2,Winter
8,15,2,Winter
8,19,2,Winter
8,19,2,Winter
8,20,2,Winter
