i,j,duration_days,season
1,2,2,Winter
1,11,2,Winter
1,12,2,Winter
1,13,2,Winter
1,37,2,Winter
2,3,2,Winter
2,4,2,Winter
2,11,2,Winter
2,12,2,Winter
2,13,2,Winter
2,14,2,Winter
2,34,2,Winter
2,37,2,Winter
2,38,2,Winter
2,39,2,Winter
2,40,2,Winter
3,3,2,Winter
3,4,2,Winter
3,5,2,Winter
3,6,2,Winter
3,7,3,Winter
3,8,2,Winter
3,11,2,Winter
3,12,2,Winter
3,12,2,Winter
3,13,2,Winter
3,13,3,Winter
3,35,3,Winter
3,36,2,Winter
3,37,2,Winter
3,38,2,Winter
3,39,2,Winter
3,40,2,Winter
3,41,2,Winter
3,42,2,Winter
3,46,2,Winter
4,4,2,Winter
4,4,2,Winter
4,5,2,Winter
4,5,2,Winter
4,6,2,Winter
4,6,2,Winter
4,7,3,Winter
4,8,3,Winter
4,11,2,Winter
4,12,2,Winter
4,13,2,Winter
4,13,2,Winter
4,14,2,Winter
4,24,2,Winter
4,30,2,Winter
4,32,2,Winter
4,36,2,Winter
4,39,2,Winter
4,40,2,Winter
4,41,2,Winter
4,43,2,Winter
4,46,2,Winter
5,4,2,Winter
5,4,2,Winter
5,5,2,Winter
5,5,2,Winter
5,6,2,Winter
5,6,2,Winter
5,7,2,Winter
5,7,2,Winter
5,7,2,Winter
5,8,3,Winter
5,9,3,Winter
5,10,2,Winter
5,11,2,Winter
5,12,2,Winter
5,12,2,Winter
5,13,3,Winter
5,13,3,Winter
5,14,3,Winter
5,14,3,Winter
5,15,3,Winter
5,16,2,Winter
5,17,2,Winter
5,17,2,Winter
5,22,2,Winter
5,24,2,Winter
5,24,2,Winter
5,24,2,Winter
5,28,4,Winter
5,31,2,Winter
5,32,2,Winter
5,35,2,Winter
5,37,2,Winter
5,43,2,Winter
5,43,2,Winter
5,44,2,Winter
5,45,2,Winter
5,46,2,Winter
5,46,2,Winter
6,4,2,Winter
6,5,2,Winter
6,5,2,Winter
6,5,2,Winter
6,6,2,Winter
6,6,2,Winter
6,6,2,Winter
6,7,2,Winter
6,7,2,Winter
6,7,2,Winter
6,8,2,Winter
6,8,2,Winter
6,9,3,Winter
6,10,2,Winter
6,10,3,Winter
6,11,2,Winter
6,12,2,Winter
6,13,3,Winter
6,13,2,Winter
6,14,3,Winter
6,14,2,Winter
6,15,4,Winter
6,15,2,Winter
6,15,2,Winter
6,16,2,Winter
6,16,2,Winter
6,17,2,Winter
6,18,2,Winter
6,19,2,Winter
6,20,2,Winter
6,21,3,Winter
6,22,3,Winter
6,23,3,Winter
6,24,2,Winter
6,24,2,Winter
6,24,2,Winter
6,24,2,Winter
6,25,2,Winter
