model,ISO_A2,season,p_shapiro_BOC,p_shapiro_EOC,p_ttest,median_BOC,median_EOC,rel_change_%,signif_ttest
HadGEM3-GC31-MM,LT,Autumn,0.097803517,0.21157838,3.69E-14,1326.006842,1785.094178,34.6217924,True
HadGEM3-GC31-MM,LU,Autumn,0.06657428,0.428892084,1.59E-10,59.85054044,71.64894644,19.71311523,True
HadGEM3-GC31-MM,MT,Autumn,0.408843455,0.290437171,0.101167931,9.659891952,9.753332036,0.967299482,False
HadGEM3-GC31-MM,NL,Autumn,0.994905228,0.946947681,2.14E-13,850.4417917,1036.650008,21.89546871,True
HadGEM3-GC31-MM,PL,Autumn,0.338732481,0.516611755,2.14E-14,7184.977411,9201.241592,28.06222018,True
HadGEM3-GC31-MM,PT,Autumn,0.896099589,0.241100375,3.80E-05,3083.720044,3377.644933,9.531503646,True
HadGEM3-GC31-MM,RO,Autumn,0.660093773,0.959631447,6.66E-11,6418.400545,7533.836826,17.37872657,True
HadGEM3-GC31-MM,SK,Autumn,0.480864913,0.539767889,1.76E-12,1221.63087,1497.804435,22.60695699,True
HadGEM3-GC31-MM,SI,Autumn,0.317631822,0.897575579,2.85E-11,538.7472891,634.5567062,17.78373998,True
HadGEM3-GC31-MM,ES,Autumn,0.599407746,0.528796323,1.36E-07,18173.24616,19676.27569,8.270561664,True
HadGEM3-GC31-MM,SE,Autumn,0.855893351,0.4374184,9.46E-10,6769.442516,7868.091716,16.22953734,True
HadGEM3-GC31-MM,CY,Autumn,0.625082847,0.861887331,0.000399127,217.1714524,221.5462506,2.014444395,True
HadGEM3-GC31-MM,GB,Autumn,0.031725418,0.193981849,2.43E-15,5090.104711,6018.060436,18.23058223,True
HadGEM3-GC31-MM,NO,Autumn,0.109565557,0.730508827,0.000104329,4151.290849,4581.374365,10.36023569,True
HadGEM3-GC31-MM,BA,Autumn,0.779056049,0.588891127,4.99E-08,1421.204178,1610.603949,13.32671081,True
HadGEM3-GC31-MM,ME,Autumn,0.911576776,0.525715885,4.76E-07,400.253527,441.7303113,10.36262806,True
HadGEM3-GC31-MM,RS,Autumn,0.189614727,0.286224429,7.07E-08,2115.491744,2526.9593,19.45020857,True
HadGEM3-GC31-MM,AL,Autumn,0.453883261,0.907375098,7.62E-07,900.9914407,986.7716291,9.520644101,True
HadGEM3-GC31-MM,MK,Autumn,0.907195501,0.791045009,1.03E-07,775.9526241,876.8016241,12.99679863,True
HadGEM3-GC31-MM,CH,Autumn,0.311135298,0.764457691,2.75E-07,1219.065894,1388.640405,13.91020049,True
HadGEM3-GC31-MM,TR,Autumn,0.713093314,0.617718267,5.35E-10,13482.82791,14590.12614,8.212655635,True
HadGEM3-GC31-MM,UA,Autumn,0.845420798,0.149188109,2.63E-13,10886.17217,14065.45726,29.20480265,True
HadGEM3-GC31-MM,BY,Autumn,0.29802704,0.017878762,2.35E-14,4421.628919,6093.288561,37.80642097,True
HadGEM3-GC31-MM,MD,Autumn,0.752256672,0.56786974,2.09E-12,892.5927903,1066.479687,19.48110033,True
HadGEM3-GC31-MM,RU,Autumn,0.539174661,0.865124439,5.05E-17,6600.790796,9010.951709,36.51321467,True
HadGEM3-GC31-MM,XK,Autumn,0.592145276,0.409538836,2.35E-07,307.1051743,358.0581043,16.59136159,True
MRI-ESM2-0,AT,Winter,0.270837566,0.900927813,2.66E-05,1300.098444,1550.844475,19.28669567,True
MRI-ESM2-0,BE,Winter,0.505304931,0.772282112,0.011009295,320.2188863,360.5279979,12.58798695,True
MRI-ESM2-0,BG,Winter,0.681559617,0.104581228,1.19E-07,2046.113331,2364.941604,15.5821414,True
MRI-ESM2-0,HR,Winter,0.296782384,0.363837482,0.000127912,986.0504329,1122.01346,13.7886484,True
MRI-ESM2-0,CZ,Winter,0.029495586,0.567086436,1.73E-05,917.0998999,1068.012605,16.45542704,True
MRI-ESM2-0,DK,Winter,0.771001488,0.26150133,0.865990029,352.3737648,354.4187089,0.580333804,False
MRI-ESM2-0,EE,Winter,0.547191371,0.491024088,0.214245874,271.1175709,254.5046094,-6.127585688,False
MRI-ESM2-0,FI,Winter,0.116810316,0.605821847,0.014069782,480.7531428,444.6562137,-7.508412513,True
MRI-ESM2-0,FR,Winter,0.264192408,0.125174147,0.011623807,8876.895438,9120.679006,2.746270579,True
MRI-ESM2-0,DE,Winter,0.007345379,0.241114097,0.000282138,3668.775678,4467.115487,21.76038763,True
MRI-ESM2-0,GR,Winter,0.706156374,0.666771015,2.10E-10,2785.755663,3239.860422,16.30095433,True
MRI-ESM2-0,HU,Winter,0.370826436,0.773873343,5.07E-08,1491.980662,1790.503612,20.00849993,True
MRI-ESM2-0,IE,Winter,0.921460672,0.079056433,0.040004154,657.6027595,594.3788378,-9.614302978,True
MRI-ESM2-0,IT,Winter,0.07400329,0.727776113,0.002761182,6382.933726,6780.795741,6.23321551,True
MRI-ESM2-0,LV,Winter,0.289778229,0.23051153,0.954869159,436.0805527,443.6251233,1.730086466,False
MRI-ESM2-0,LT,Winter,0.149859566,0.51933032,0.357263741,473.8144849,525.9724682,11.00810231,False
MRI-ESM2-0,LU,Winter,0.200487628,0.691901461,0.008671328,26.58302967,30.45050973,14.54868053,True
MRI-ESM2-0,MT,Winter,0.288039818,0.802977688,0.007145607,6.858316885,7.206718082,5.079981027,True
MRI-ESM2-0,NL,Winter,0.063983212,0.699145179,0.007990475,355.5083903,412.1605346,15.93552945,True
MRI-ESM2-0,PL,Winter,0.384935572,0.21199829,0.000276707,3110.59723,3673.092274,18.08318476,True
MRI-ESM2-0,PT,Winter,0.299033115,0.882461273,0.697915191,2028.987016,1992.568605,-1.794906074,False
MRI-ESM2-0,RO,Winter,0.452356549,0.724572282,5.16E-09,3635.53745,4532.873781,24.68235696,True
MRI-ESM2-0,SK,Winter,0.144169544,0.941539787,2.43E-07,598.9499829,751.7230966,25.50682327,True
MRI-ESM2-0,SI,Winter,0.338856672,0.306407477,0.002321082,360.5516318,410.5765637,13.87455429,True
MRI-ESM2-0,ES,Winter,0.420105147,0.040554958,0.481076869,12350.4054,12495.04078,1.171098265,False
MRI-ESM2-0,SE,Winter,0.412106509,0.699674487,0.827965687,1764.91978,1806.94454,2.381114445,False
MRI-ESM2-0,CY,Winter,0.712240927,0.000916235,3.30E-12,139.8555524,162.3866125,16.1102364,True
MRI-ESM2-0,GB,Winter,0.18290711,0.028630047,0.826242676,2252.671534,2184.903256,-3.008351484,False
MRI-ESM2-0,NO,Winter,0.10377181,0.023371829,0.001989072,1276.423821,1099.22134,-13.88273063,True
MRI-ESM2-0,BA,Winter,0.109719385,0.2638767,0.000107487,842.4495551,997.3585883,18.38792985,True
MRI-ESM2-0,ME,Winter,0.040416968,0.387851414,1.57E-05,217.0705733,262.1024092,20.74525131,True
MRI-ESM2-0,RS,Winter,0.11483129,0.947761396,2.12E-06,1273.478581,1524.45325,19.70780445,True
MRI-ESM2-0,AL,Winter,0.553625667,0.623610117,4.77E-08,526.4964341,640.0370782,21.56532063,True
MRI-ESM2-0,MK,Winter,0.252336924,0.956694925,6.61E-09,446.4108651,543.3496163,21.71514153,True
MRI-ESM2-0,CH,Winter,0.55412151,0.215550092,0.003266235,707.7834366,808.1648189,14.18249948,True
MRI-ESM2-0,TR,Winter,0.190031357,0.387177514,2.82E-11,7020.736683,8563.878168,21.97976586,True
MRI-ESM2-0,UA,Winter,0.917901384,0.496764688,9.87E-06,5256.639097,6181.589903,17.59585904,True
MRI-ESM2-0,BY,Winter,0.369132618,0.999302066,0.033069651,1775.671472,1979.299023,11.4676366,True
MRI-ESM2-0,MD,Winter,0.222251055,0.944493322,1.11E-06,543.8323926,614.2984847,12.95731793,True
MRI-ESM2-0,RU,Winter,0.279620482,0.881617445,0.25350012,2053.007149,2188.421966,6.595925277,False
MRI-ESM2-0,XK,Winter,0.018883798,0.998715955,1.21E-07,174.4571683,212.8159064,21.98748179,True
MRI-ESM2-0,AT,Spring,0.614145186,0.248671383,0.002918872,2781.57625,2938.808069,5.652615808,True
MRI-ESM2-0,BE,Spring,0.858084561,0.647213601,0.097418223,976.6619055,1002.878304,2.684285923,False
MRI-ESM2-0,BG,Spring,0.231584745,0.125958948,1.51E-06,3808.610268,4131.450152,8.476579701,True
MRI-ESM2-0,HR,Spring,0.575095906,0.704808461,0.00631708,1928.465961,2049.810414,6.292278697,True
MRI-ESM2-0,CZ,Spring,0.282122981,0.628855756,0.001152556,2529.75044,2680.184633,5.946602111,True
MRI-ESM2-0,DK,Spring,0.989654905,0.27920501,0.150663957,1562.872303,1592.139209,1.872635783,False
MRI-ESM2-0,EE,Spring,0.435589043,0.1753737,0.135651199,1719.962279,1778.342364,3.394265375,False
MRI-ESM2-0,FI,Spring,0.621892099,0.755144929,0.475885965,4720.602002,4656.762225,-1.352365151,False
MRI-ESM2-0,FR,Spring,0.013772091,0.218074689,0.177676618,18992.84879,19467.26402,2.497862383,False
MRI-ESM2-0,DE,Spring,0.97083168,0.568655909,0.003780586,11518.1628,12090.48671,4.968881942,True
MRI-ESM2-0,GR,Spring,0.050883084,0.725679409,2.02E-08,4779.562229,5093.677522,6.572051555,True
MRI-ESM2-0,HU,Spring,0.481984442,0.246118877,0.0009967,3308.248082,3468.581431,4.846472959,True
MRI-ESM2-0,IE,Spring,0.124007078,0.783739462,3.36E-05,2168.123552,2049.843879,-5.455393595,True
MRI-ESM2-0,IT,Spring,0.997424784,0.77861836,0.025999151,11470.54711,11833.03941,3.160200617,True
MRI-ESM2-0,LV,Spring,0.99404221,0.239118766,0.127999036,2316.751408,2411.714241,4.09896512,False
MRI-ESM2-0,LT,Spring,0.403430579,0.453863633,0.215186917,2236.234337,2298.948665,2.804461375,False
MRI-ESM2-0,LU,Spring,0.9132796,0.743963329,0.051111027,79.42879688,83.13653716,4.668005082,False
MRI-ESM2-0,MT,Spring,0.254188339,0.191868369,0.010759302,11.37751242,11.54154968,1.441767287,True
MRI-ESM2-0,NL,Spring,0.700501993,0.83600956,0.067533631,1222.517363,1255.096963,2.66496006,False
MRI-ESM2-0,PL,Spring,0.999113196,0.138845044,0.006346843,10378.63527,11010.90266,6.092008967,True
MRI-ESM2-0,PT,Spring,0.54521166,0.788011476,0.378909384,3474.251679,3500.297082,0.74966944,False
MRI-ESM2-0,RO,Spring,0.172384154,0.798732654,8.52E-07,7685.672046,8385.867485,9.110399656,True
MRI-ESM2-0,SK,Spring,0.524864703,0.934104088,0.000137766,1644.717201,1731.138913,5.254502854,True
MRI-ESM2-0,SI,Spring,0.133555316,0.757838588,0.025729072,699.9028898,725.6899648,3.684378995,True
MRI-ESM2-0,ES,Spring,0.445591261,0.841524199,0.087183533,20307.06491,20816.93652,2.510808965,False
MRI-ESM2-0,SE,Spring,0.695798672,0.56652045,0.419144121,11632.73886,12100.23142,4.018766057,False
MRI-ESM2-0,CY,Spring,0.448589116,0.986725785,2.96E-05,228.6533919,239.0284574,4.537464079,True
MRI-ESM2-0,GB,Spring,0.281229602,0.188192936,0.96278003,7714.59501,7680.265345,-0.444996337,False
MRI-ESM2-0,NO,Spring,0.462852563,0.502568337,0.239352258,8168.287596,8069.502149,-1.209377691,False
MRI-ESM2-0,BA,Spring,0.923819982,0.488051123,0.000107519,1730.929865,1913.035565,10.52068623,True
MRI-ESM2-0,ME,Spring,0.971579917,0.945870514,1.06E-07,443.0985139,508.7010546,14.80540751,True
MRI-ESM2-0,RS,Spring,0.74236507,0.275407129,4.36E-06,2575.46236,2838.442736,10.21099668,True
MRI-ESM2-0,AL,Spring,0.80047045,0.728345113,3.67E-07,984.6336993,1101.147515,11.83321429,True
MRI-ESM2-0,MK,Spring,0.097980694,0.658067226,1.72E-08,852.4620006,946.0199326,10.97502669,True
MRI-ESM2-0,CH,Spring,0.417195942,0.874836436,0.002963582,1421.051574,1531.927173,7.802362763,True
MRI-ESM2-0,TR,Spring,0.36811277,0.012495569,1.48E-11,13078.81506,14220.15438,8.726626336,True
MRI-ESM2-0,UA,Spring,0.988081711,0.782824101,3.02E-06,14086.45674,15353.45823,8.994465449,True
MRI-ESM2-0,BY,Spring,0.793164538,0.596153563,0.003286077,7034.084065,7523.796368,6.961991053,True
MRI-ESM2-0,MD,Spring,0.957122004,0.31549647,1.51E-05,1113.395793,1200.515,7.824639504,True
MRI-ESM2-0,RU,Spring,0.71576302,0.902036738,0.001925234,10688.94524,11110.75296,3.946205307,True
MRI-ESM2-0,XK,Spring,0.085141814,0.445511729,1.52E-08,351.9264158,398.1161201,13.12481879,True
MRI-ESM2-0,AT,Summer,0.062917803,0.083754773,3.01E-08,3493.759064,3736.669715,6.952701872,True
MRI-ESM2-0,BE,Summer,0.809847708,0.932427016,3.93E-05,1239.163717,1311.635285,5.848425605,True
MRI-ESM2-0,BG,Summer,0.526119553,0.363128418,0.718803183,4915.177809,4931.954269,0.341319506,False
MRI-ESM2-0,HR,Summer,0.010481689,0.138913734,5.19E-05,2388.534261,2467.958272,3.32521966,True
MRI-ESM2-0,CZ,Summer,0.002534499,0.773304574,9.07E-06,3256.043507,3389.729379,4.105776582,True
MRI-ESM2-0,DK,Summer,0.554882897,0.906014859,0.063624327,1972.05689,1909.243195,-3.185186726,False
MRI-ESM2-0,EE,Summer,0.397954821,0.242451527,0.328309907,2258.622771,2262.736679,0.182142334,False
MRI-ESM2-0,FI,Summer,0.987057552,0.108626034,0.887134165,6104.98882,5963.973475,-2.309837904,False
MRI-ESM2-0,FR,Summer,0.970733589,0.787846537,7.19E-10,23436.48655,24982.0975,6.594891882,True
MRI-ESM2-0,DE,Summer,0.070460946,0.63287268,0.000140281,14581.84063,15117.59128,3.674094773,True
MRI-ESM2-0,GR,Summer,0.603883993,0.328254318,3.87E-07,6050.530912,5901.082583,-2.470003568,True
MRI-ESM2-0,HU,Summer,0.017993559,0.030074278,0.000111212,4114.210243,4205.176678,2.211030291,True
MRI-ESM2-0,IE,Summer,0.585268392,0.796713971,0.007248537,2529.151349,2397.428375,-5.208188671,True
MRI-ESM2-0,IT,Summer,0.282553395,0.55776282,0.019791074,13964.70331,14107.74556,1.024312858,True
MRI-ESM2-0,LV,Summer,0.24253379,0.451325254,0.068963924,3023.394596,3064.210891,1.35001548,False
MRI-ESM2-0,LT,Summer,0.281319281,0.613755857,0.017791786,2900.422932,2977.881616,2.670599636,True
MRI-ESM2-0,LU,Summer,0.324268267,0.586425423,1.65E-07,103.8232458,111.9346504,7.812705607,True
MRI-ESM2-0,MT,Summer,0.727053492,0.054973594,0.118303424,13.12343467,12.97387192,-1.139661606,False
MRI-ESM2-0,NL,Summer,0.437271827,0.358922189,0.098765423,1521.311035,1562.305819,2.694701036,False
MRI-ESM2-0,PL,Summer,0.116907078,0.666270203,0.001577394,13170.40539,13674.99409,3.831231341,True
MRI-ESM2-0,PT,Summer,0.378952678,0.08774893,0.469140703,4258.958266,4287.030787,0.659140543,False
MRI-ESM2-0,RO,Summer,0.181386623,0.194561707,0.00010563,10246.4621,10469.90252,2.180659184,True
MRI-ESM2-0,SK,Summer,0.003031249,0.254364393,4.68E-06,2082.686028,2172.397692,4.307498236,True
MRI-ESM2-0,SI,Summer,0.012769398,0.519754137,1.03E-05,862.2115389,899.8427964,4.364504042,True
MRI-ESM2-0,ES,Summer,0.652458735,0.0882223,0.360296406,23889.23442,23988.10641,0.413876748,False
MRI-ESM2-0,SE,Summer,0.552810011,0.619057241,0.850661647,15052.63134,15061.43855,0.058509462,False
MRI-ESM2-0,CY,Summer,0.292279215,0.00722581,8.23E-17,276.1820639,268.0270126,-2.952780912,True
MRI-ESM2-0,GB,Summer,0.254507835,0.863928082,0.175762215,9325.330849,9080.782452,-2.622409869,False
MRI-ESM2-0,NO,Summer,0.707152465,0.143367953,0.003652632,9833.556132,9257.747937,-5.855543887,True
MRI-ESM2-0,BA,Summer,0.007096208,0.012028285,1.56E-06,2243.225797,2356.11502,5.032450256,True
MRI-ESM2-0,ME,Summer,0.008540676,0.028810747,4.39E-05,618.9051139,644.9089962,4.201594353,True
MRI-ESM2-0,RS,Summer,0.060986634,0.350699538,0.001836699,3365.217079,3421.215678,1.664041225,True
MRI-ESM2-0,AL,Summer,0.087437864,0.030740277,0.950389682,1314.310524,1316.06824,0.133736702,False
MRI-ESM2-0,MK,Summer,0.004611992,0.064239031,0.120293066,1142.856017,1155.982964,1.148608962,False
MRI-ESM2-0,CH,Summer,0.019006511,0.656429297,4.83E-12,1871.540806,2014.766771,7.652836884,True
MRI-ESM2-0,TR,Summer,0.233728975,0.551122593,7.54E-05,17480.75419,17289.94087,-1.091562318,True
MRI-ESM2-0,UA,Summer,0.162203968,0.052869685,3.14E-07,18355.83702,19175.24465,4.464016706,True
MRI-ESM2-0,BY,Summer,0.250982678,0.12534152,1.13E-05,9011.552224,9424.523668,4.582689344,True
MRI-ESM2-0,MD,Summer,0.771897514,0.446430876,0.002001869,1433.745166,1464.833667,2.168342204,True
MRI-ESM2-0,RU,Summer,0.99592829,0.853291682,0.024675605,13840.93073,14215.8484,2.708760502,True
MRI-ESM2-0,XK,Summer,0.053379146,0.134801251,0.001382014,483.6930149,495.6974562,2.481830602,True
MRI-ESM2-0,AT,Autumn,0.533579341,0.167601105,0.000922676,1941.263369,2113.196791,8.856779756,True
MRI-ESM2-0,BE,Autumn,0.287684689,0.926560742,0.01886531,605.6580106,669.3668871,10.51895217,True
MRI-ESM2-0,BG,Autumn,0.694392468,0.845739183,8.69E-06,3094.540832,3373.249354,9.006458073,True
MRI-ESM2-0,HR,Autumn,0.081222407,0.72596289,1.58E-05,1391.154819,1522.432396,9.436590096,True
MRI-ESM2-0,CZ,Autumn,0.333890067,0.024077307,0.003066205,1557.911984,1713.185268,9.966755843,True
MRI-ESM2-0,DK,Autumn,0.243096026,0.841119703,0.399126529,804.0284004,831.2387374,3.384250734,False
MRI-ESM2-0,EE,Autumn,0.262093615,0.680257329,0.025384697,728.4810264,805.6712394,10.5960499,True
MRI-ESM2-0,FI,Autumn,0.668777784,0.695252811,0.296860375,1686.043296,1724.145402,2.259853346,False
MRI-ESM2-0,FR,Autumn,0.470094684,0.2431581,0.004895492,13647.41775,14140.17195,3.61060395,True
MRI-ESM2-0,DE,Autumn,0.028767021,0.874508261,0.022290634,7328.747852,7650.607339,4.391739131,True
MRI-ESM2-0,GR,Autumn,0.056687588,0.277480738,3.90E-05,4063.958713,4256.317154,4.733277449,True
MRI-ESM2-0,HU,Autumn,0.315851974,0.150630986,0.000116835,2338.28091,2525.814839,8.020162533,True
MRI-ESM2-0,IE,Autumn,0.5419877,0.008408193,0.495947488,1174.199687,1171.444338,-0.234657676,False
MRI-ESM2-0,IT,Autumn,0.857059997,0.319231794,0.000280342,8817.214412,9180.752353,4.123047535,True
MRI-ESM2-0,LV,Autumn,0.508842897,0.547353002,0.015878629,1155.078976,1230.194303,6.503046859,True
MRI-ESM2-0,LT,Autumn,0.626947156,0.471407318,0.00485178,1179.754495,1245.894928,5.606287869,True
MRI-ESM2-0,LU,Autumn,0.189188691,0.678266554,0.01222503,49.83279312,53.76231243,7.885408506,True
MRI-ESM2-0,MT,Autumn,0.117249111,0.705528048,0.005647978,9.430228851,9.613784673,1.946462014,True
MRI-ESM2-0,NL,Autumn,0.605510625,0.495454472,0.12297715,744.426625,799.5293938,7.402041651,False
MRI-ESM2-0,PL,Autumn,0.372408296,0.865932996,0.001106171,6201.960554,6865.169623,10.69353898,True
MRI-ESM2-0,PT,Autumn,0.497477781,0.871767268,0.107610403,2879.925937,2919.838059,1.385873226,False
MRI-ESM2-0,RO,Autumn,0.203214557,0.706284391,2.93E-06,5981.806231,6624.899932,10.75082802,True
MRI-ESM2-0,SK,Autumn,0.896108909,0.483841585,9.80E-05,1069.63799,1167.124382,9.113961281,True
MRI-ESM2-0,SI,Autumn,0.031353278,0.055564935,0.000155125,488.6832218,531.4517445,8.751788646,True
MRI-ESM2-0,ES,Autumn,0.711609372,0.999089262,0.116123632,16313.26624,16915.98334,3.694643966,False
MRI-ESM2-0,SE,Autumn,0.698641981,0.864090319,0.522248679,5192.599087,5266.4574,1.422376564,False
MRI-ESM2-0,CY,Autumn,0.404851118,0.891224166,0.492601682,215.5886111,215.8772144,0.133867621,False
MRI-ESM2-0,GB,Autumn,0.409206358,0.542539332,0.464665778,4437.301242,4447.889095,0.238610207,False
MRI-ESM2-0,NO,Autumn,0.015658244,0.071305824,0.691593118,3206.779552,3202.598546,-0.130380212,False
MRI-ESM2-0,BA,Autumn,0.607398723,0.977719643,6.88E-06,1269.748604,1426.100643,12.31362168,True
MRI-ESM2-0,ME,Autumn,0.413164626,0.199904125,1.69E-06,341.4612518,387.2034891,13.39602578,True
MRI-ESM2-0,RS,Autumn,0.91178822,0.653376261,1.03E-05,1934.135053,2203.692818,13.93686362,True
MRI-ESM2-0,AL,Autumn,0.999946354,0.033952264,5.76E-05,820.4957514,867.3034344,5.70480504,True
MRI-ESM2-0,MK,Autumn,0.527405444,0.280723287,9.93E-07,693.6255042,768.0257915,10.72629059,True
MRI-ESM2-0,CH,Autumn,0.872849213,0.710333542,0.000957441,1033.489546,1118.167515,8.193403487,True
MRI-ESM2-0,TR,Autumn,0.26714105,0.642567295,7.87E-06,12122.87274,12694.92761,4.718806172,True
MRI-ESM2-0,UA,Autumn,0.51036948,0.950469835,3.91E-05,9708.3796,10909.43972,12.37137579,True
MRI-ESM2-0,BY,Autumn,0.999149317,0.380986989,0.000340845,3774.877457,4371.361695,15.8014199,True
MRI-ESM2-0,MD,Autumn,0.534343829,0.345231,9.80E-05,866.0813788,938.8077749,8.397178126,True
MRI-ESM2-0,RU,Autumn,0.623658472,0.843848983,0.000307664,5054.298571,5663.490798,12.05295292,True
MRI-ESM2-0,XK,Autumn,0.61033725,0.354049672,3.58E-07,275.0347092,311.1462507,13.12981246,True
