ISO_A2,mean_BOC (kWh/kWp),mean_EOC (kWh/kWp),rel_change_%,p_shapiro_BOC,p_shapiro_EOC,p_ttest
AT,9685.960942432494,10473.309032891653,8.128755578704908,2.966551100051856e-12,1.250512235268584e-11,1.2062498821838123e-08
BE,3192.1182687144005,3470.0579550095235,8.707061045299582,2.4027720266870286e-07,3.683060097707986e-12,5.4650260285654165e-09
BG,13529.808698433291,14519.271727392363,7.313207828826494,6.89221373201416e-11,4.5000056892075173e-13,9.51578847445258e-09
HR,6585.323355164358,7048.098563032989,7.027372581571292,9.889303939106778e-10,1.4856780870285417e-13,1.4454178954010314e-09
CZ,8310.220948513446,9079.40479707574,9.255877230314645,2.831729370527292e-08,2.697367163209773e-12,6.617637102802863e-10
DK,4761.332293289478,5058.232012363956,6.235643739734819,3.7508083282583487e-10,7.249561734132721e-13,1.7389237383827234e-05
EE,5264.889513752854,5523.589024898816,4.913674075594397,1.3669342302505757e-09,8.548110283991486e-13,0.001176491340086154
FI,12894.81205591551,13337.595490847105,3.4338106907767374,2.1601082200851112e-08,6.273027210951171e-09,0.08436277299162509
FR,64461.00210186931,69107.66082436823,7.208480431557193,7.872836216704473e-12,3.5104207271150045e-13,1.0465014804705138e-08
DE,37305.64498588597,40559.43128956611,8.721967693927189,8.759271204199018e-10,4.687926227044521e-13,3.138590998456153e-09
GR,17480.27383745645,18516.85828092306,5.930024055146287,1.4161939101033758e-13,2.411525097286723e-13,6.099129523029291e-09
HU,10922.812446793318,11707.619662602765,7.185028760974912,1.634385042749179e-12,2.8578754906390155e-14,8.70740885038963e-09
IE,6765.941747851687,7077.587143454497,4.6060904337783155,1.731938081297898e-11,5.90090725082392e-13,0.0023232229346655995
IT,40411.14378923133,42507.27568198652,5.187014511857881,3.1108770104031404e-13,8.779582966715905e-13,6.962093693585592e-07
LV,7171.731404329763,7604.4831574633145,6.0341321883902115,1.3286214648902335e-09,1.0159665317986806e-12,9.263252987283513e-05
LT,7030.285028009185,7485.936319390476,6.4812634134454195,3.441019530507992e-09,1.0990456967355317e-12,2.9075014694815123e-05
LU,266.17726443213894,291.15315385030857,9.383179089864436,2.3436790102855026e-06,4.929103432480285e-11,1.497890570378683e-09
MT,40.72673043795855,41.68848804554389,2.3614898550485,6.799710266371524e-15,1.2061847220271555e-15,0.0037198920484424625
NL,3871.4872439359865,4183.695873129577,8.064307319689904,6.818795528401298e-09,2.5766273123622166e-13,6.922731211604323e-08
PL,33358.656700991036,35983.674442561576,7.869075080270109,1.366360910259138e-08,3.262707278055514e-13,2.412105609647256e-07
PT,12583.39112777405,13116.912849140452,4.239888245934064,1.0044361391686472e-09,1.1080333774090561e-10,7.977293312281496e-06
RO,27144.730868725434,29178.648993492414,7.4928653174098745,1.325416787541926e-10,6.803504955341394e-14,2.119956859474819e-08
SK,5312.192820786113,5752.918394927534,8.296490526791557,3.824580788580216e-09,1.1790339109654775e-13,5.513417145025653e-09
SI,2390.660426218537,2579.7026022521422,7.907529399004844,6.412036688443077e-10,7.050138080773336e-12,3.1019846852660595e-09
ES,72640.07924497616,77075.99781914982,6.106709436829874,6.4496443539659765e-12,1.646630952377786e-08,1.0034400153204954e-10
SE,35312.427282999626,36891.991505379374,4.473111433889432,3.202396250042321e-10,8.000728176261825e-12,0.002637625488749619
CY,848.614535905969,867.7206065746052,2.251442776459025,8.369510318050328e-09,2.468603607755751e-12,0.0005492816323949819
