ISO_A2,model,median_BOC,median_EOC,rel_change_%,p_shapiro_BOC,p_shapiro_EOC,p_ttest,signif_ttest
GR,HadGEM3-GC31-LL,18705.533375234096,19713.07573609536,5.386333234395976,0.540101466139584,0.9157931637873684,1.1653516223172965e-13,True
GR,HadGEM3-GC31-MM,18570.760432010058,19379.841408574655,4.356746615340533,0.21418468814262492,0.24043651937306398,8.728374676165759e-11,True
GR,MRI-ESM2-0,17754.725996855374,18567.828642078213,4.579640628454939,0.0144699075815094,0.8638121845762142,2.0653423431126466e-10,True
HU,ACCESS-CM2,11884.277681082012,13034.849440735261,9.681461427687662,0.9994495777414817,0.5580168877664631,2.0436198654835336e-14,True
HU,CanESM5,12400.740977625668,12377.041946052223,-0.1911098023594328,0.42181843207772196,0.004265812299289817,0.8936836167074327,False
HU,CMCC-CM2-SR5,8725.012365178844,9497.856136942539,8.857795718984676,0.8277169818310344,0.7215724158622899,5.547553086738917e-07,True
HU,CMCC-ESM2,8862.31190982747,9640.68672809673,8.782977017612268,0.3883853858893271,0.23083888180851309,4.948991633499002e-08,True
HU,HadGEM3-GC31-LL,11767.331049014747,12826.700241474877,9.002629296715746,0.5028336950186596,0.5908664338975954,1.1338376440251115e-16,True
HU,HadGEM3-GC31-MM,11810.705046544634,12671.963837930327,7.292187790581267,0.909139068874548,0.49935681846584234,2.986267873418769e-11,True
HU,MRI-ESM2-0,11296.001660043166,12008.005037530254,6.303145120858342,0.009623375308420876,0.9807355732561907,1.4555484980580391e-08,True
IE,ACCESS-CM2,7438.995680296752,8307.475959507523,11.67469799063153,0.8503152250013265,0.0365494748419282,1.234684365090891e-16,True
IE,CanESM5,7806.644567346684,7864.1728238441565,0.73691399680343,0.0054095822291848105,0.9299961493337786,0.19816307410060519,False
IE,CMCC-CM2-SR5,5351.558939860152,5601.41837813346,4.668909397825609,0.19705889844546526,0.6087356561435613,0.013548787740028633,True
IE,CMCC-ESM2,5335.43821584551,5433.888283982896,1.8452105366903626,0.4376544141355832,0.8288208100384755,0.17480015737241095,False
IE,HadGEM3-GC31-LL,7647.215118930817,8232.212759958047,7.649812800205636,0.4168344914249695,0.07953621042408164,1.2432618309742013e-14,True
IE,HadGEM3-GC31-MM,7430.272280157966,7845.405811192374,5.5870567777575815,0.14045884398826536,0.2016681776896178,1.2274210404440075e-12,True
IE,MRI-ESM2-0,6523.784498233847,6216.978384427141,-4.7028854783564205,0.9926739581071433,0.4769108637571997,4.027381202773094e-06,True
IT,ACCESS-CM2,43788.29671051561,47337.18679429905,8.104654326349221,0.46556336216446803,0.6664387805340899,1.0452712996986834e-15,True
IT,CanESM5,44441.89382124061,45059.80346270894,1.3903764856505856,0.8241960191757802,0.024338593420731126,0.23278521768131324,False
IT,CMCC-CM2-SR5,33854.45588916245,35900.5178987241,6.043700765005186,0.7374309569044263,0.0889103401379667,4.659105261415742e-09,True
IT,CMCC-ESM2,33725.397711064725,36081.6216559792,6.986497135188534,0.39546339885972454,0.5330088838296897,6.020057339612194e-09,True
IT,HadGEM3-GC31-LL,43402.47770397457,46673.012131650954,7.535363418611671,0.8020929911068815,0.9564840226214737,1.2242350771310846e-17,True
IT,HadGEM3-GC31-MM,43537.173594086016,45066.384237762104,3.512425170116721,0.6737170618638766,0.034120448615544675,1.324665353866679e-08,True
IT,MRI-ESM2-0,40525.48739419646,42069.20608075106,3.8092538444723725,0.769674355395729,0.47698465165770104,1.0135764168176867e-05,True
LV,ACCESS-CM2,8016.797108467232,8549.258670726405,6.641824098264817,0.9437308799739076,0.8607533344774612,7.623185789451485e-08,True
LV,CanESM5,8353.020444066493,8495.308965100257,1.7034379597961848,0.8709734606771851,0.4099855778246937,0.18130909661467837,False
LV,CMCC-CM2-SR5,5603.512806914745,6042.854569844865,7.840470398996353,0.2522786729144133,0.5673420403273908,0.0001414552119904542,True
LV,CMCC-ESM2,5517.897703543323,5842.193750449134,5.877166709661266,0.7896862649468123,0.31667822455735595,9.094684734096336e-06,True
LV,HadGEM3-GC31-LL,7986.017339408753,8729.149388723505,9.305414923751835,0.4041837636091524,0.09402208404453977,4.702801564712511e-11,True
LV,HadGEM3-GC31-MM,7911.191521413986,8479.174261937007,7.179484139470103,0.6227189260505326,0.06631100446636169,5.352366872409921e-12,True
