i,j,duration_days,season
1,10,2,Winter
1,11,2,Winter
1,11,2,Winter
1,12,2,Winter
1,24,2,Winter
1,24,4,Winter
1,25,3,Winter
1,25,4,Winter
1,25,2,Winter
1,26,3,Winter
1,26,2,Winter
1,27,2,Winter
1,27,2,Winter
1,30,3,Winter
1,31,2,Winter
1,31,3,Winter
1,32,2,Winter
1,32,3,Winter
1,33,2,Winter
1,33,4,Winter
1,34,2,Winter
1,34,3,Winter
1,35,2,Winter
1,36,2,Winter
1,37,3,Winter
1,38,2,Winter
1,39,2,Winter
1,39,2,Winter
2,10,2,Winter
2,11,2,Winter
2,11,3,Winter
2,12,2,Winter
2,13,2,Winter
2,20,2,Winter
2,21,2,Winter
2,24,2,Winter
2,24,4,Winter
2,24,3,Winter
2,24,2,Winter
2,25,2,Winter
2,25,3,Winter
2,25,2,Winter
2,26,2,Winter
2,26,2,Winter
2,26,2,Winter
2,27,2,Winter
2,27,2,Winter
2,28,2,Winter
2,28,2,Winter
2,29,2,Winter
2,29,3,Winter
2,30,3,Winter
2,31,3,Winter
2,32,2,Winter
2,32,3,Winter
2,33,2,Winter
2,33,4,Winter
2,34,2,Winter
2,34,4,Winter
2,35,2,Winter
2,35,3,Winter
2,36,2,Winter
2,36,3,Winter
2,37,2,Winter
2,38,2,Winter
2,39,2,Winter
2,39,2,Winter
2,40,2,Winter
3,11,3,Winter
3,12,2,Winter
3,13,2,Winter
3,13,2,Winter
3,16,2,Winter
3,17,2,Winter
3,17,2,Winter
3,17,2,Winter
3,18,5,Winter
3,18,2,Winter
3,18,2,Winter
3,19,5,Winter
3,19,2,Winter
3,19,2,Winter
3,20,5,Winter
3,20,3,Winter
3,20,2,Winter
3,21,5,Winter
3,21,3,Winter
3,21,2,Winter
3,23,3,Winter
3,24,3,Winter
3,24,3,Winter
3,24,4,Winter
3,25,2,Winter
3,25,2,Winter
3,25,3,Winter
3,25,2,Winter
3,26,2,Winter
3,26,2,Winter
3,26,2,Winter
3,26,2,Winter
3,26,2,Winter
3,27,2,Winter
3,27,2,Winter
3,27,2,Winter
3,28,2,Winter
3,29,2,Winter
3,29,2,Winter
3,30,2,Winter
3,30,2,Winter
3,30,3,Winter
3,31,2,Winter
3,32,2,Winter
3,33,2,Winter
3,33,2,Winter
3,34,2,Winter
3,34,3,Winter
3,35,2,Winter
3,36,2,Winter
3,37,2,Winter
3,38,2,Winter
3,39,2,Winter
3,40,2,Winter
3,41,2,Winter
4,5,2,Winter
4,8,2,Winter
4,9,2,Winter
4,10,2,Winter
4,11,4,Winter
4,12,4,Winter
4,13,2,Winter
4,13,2,Winter
4,13,2,Winter
4,13,2,Winter
4,14,2,Winter
4,15,2,Winter
4,16,2,Winter
4,16,2,Winter
4,17,2,Winter
4,17,2,Winter
4,17,2,Winter
4,17,2,Winter
4,17,2,Winter
4,18,4,Winter
4,18,2,Winter
4,18,3,Winter
4,18,3,Winter
4,18,2,Winter
4,19,3,Winter
4,19,2,Winter
4,19,3,Winter
4,19,3,Winter
4,19,2,Winter
4,20,3,Winter
4,20,3,Winter
4,20,3,Winter
4,20,2,Winter
4,21,2,Winter
4,21,3,Winter
4,21,3,Winter
4,21,3,Winter
4,21,3,Winter
4,22,2,Winter
4,22,2,Winter
4,22,2,Winter
4,22,3,Winter
4,23,2,Winter
4,23,3,Winter
4,24,2,Winter
4,24,2,Winter
4,24,4,Winter
4,24,2,Winter
4,24,3,Winter
4,25,2,Winter
4,25,2,Winter
4,25,2,Winter
4,25,2,Winter
4,26,2,Winter
4,26,2,Winter
4,27,2,Winter
4,28,2,Winter
4,29,2,Winter
4,29,2,Winter
4,30,2,Winter
4,30,2,Winter
4,30,2,Winter
4,31,2,Winter
4,32,2,Winter
4,33,2,Winter
4,34,2,Winter
4,34,2,Winter
4,35,4,Winter
4,35,2,Winter
4,36,4,Winter
